StarID,Name
513,Emma Gates
514,Melanie Lynskey
515,Sarah Peirse
516,Sinbad
517,Phil Hartman
518,Kim Greist
519,Jeroen Krabbé
520,Isabella Rossellini
521,Tom McGowan
522,Aaron Schwartz
523,John Lone
524,Joan Chen
525,Tim Robbins
526,Tom Cruise
527,Nick Nolte
528,Gwyneth Paltrow
529,John G. Brennan
530,Kamal Ahmed
531,Arnold Schwarzenegger
532,Kate Capshaw
533,Thomas Ian Nicholas
534,Joss Ackland
535,Art Malik
536,Mark Hamill
537,Carrie Fisher
538,Liesel Matthews
539,Eleanor Bron
540,Liam Cunningham
541,Crissy Rock
542,Vladimir Vega
543,Sandie Lavelle
544,Marco Leonardi
545,Lumi Cavazos
546,Regina Torné
547,Aidan Quinn
548,Damon Wayans
549,Michael Ironside
550,Bam Bam Bigelow
551,Angel Aviles
552,Seidy Lopez
553,Jacob Vargas
554,Warren Beatty
555,Katharine Hepburn
556,David Strathairn
557,Nigel Hawthorne
558,Helen Mirren
559,Rupert Graves
560,Helena Bonham Carter
561,Chevy Chase
562,Farrah Fawcett
563,Madeline Kahn
564,Robert Klein
565,Melanie Griffith
566,Michael Patrick Carter
567,Richard Attenborough
568,Elizabeth Perkins
569,Jimmy Smits
570,Esai Morales
571,Edward James Olmos
572,Paul Newman
573,Jessica Tandy
574,Natasha Richardson
575,Shar-Ron Corley
576,Gabriel Casseus
577,Saul Stein
578,Tôru Nakamura
579,Chad McQueen
580,Craig Fairbrass
581,Elizabeth Hurley
582,Keith Allen
583,Laura San Giacomo
584,Paul Rhys
585,Michael O'Keefe
586,Marisa Tomei
587,Rena Owen
588,Temuera Morrison
589,Mamaengaroa Kerr-Bell
590,Alyssa Milano
591,Dustin Hoffman
592,Jean Reno
593,Natalie Portman
594,Alfred Molina
595,Sadie Frost
596,Uma Thurman
597,Lai Wang
598,Bozhao Wang
599,Linus Roache
600,Tom Wilkinson
601,Robert Carlyle
602,Rob Morrow
603,Yûki Kudô
604,Akira Takayama
605,Cary-Hiroyuki Tagawa
606,Isabelle Adjani
607,Daniel Auteuil
608,Jean-Hugues Anglade
609,Russell Crowe
610,Peter Falk
611,D.B. Sweeney
612,Sophia Loren
613,Marcello Mastroianni
614,Jean-Louis Trintignant
615,Frédérique Feder
616,Juliette Binoche
617,Zbigniew Zamachowski
618,Janusz Gajos
619,Matt McCoy
620,Darlanne Fluegel
621,Martin Neufeld
622,James Brolin
623,Al Franken
624,Vincent D'Onofrio
625,Jack Palance
626,Howard McGillin
627,Michelle Nicastro
628,Jeni Courtney
629,Eileen Colgan
630,Mick Lally
631,James Woods
632,Kurt Russell
633,James Spader
634,Jaye Davidson
635,Judge Reinhold
636,Wendy Crewson
637,Bob Gunton
638,Kerry Fox
639,Christopher Eccleston
640,Ewan McGregor
641,Dennis Haysbert
642,Mel Harris
643,Sab Shimono
644,Jorge Perugorría
645,Vladimir Cruz
646,Mirta Ibarra
647,Frank Whaley
648,Michelle Forbes
649,Jack Thompson
650,John Polson
651,Valerie Mahaffey
652,Lawrence Dane
653,You Ge
654,Ben Niu
655,Lori Petty
656,Ice-T
657,Naomi Watts
658,Billy Zane
659,William Sadler
660,John Kassir
